,ts_code,extname,index_code,index_name,exchange,mgr_name,amount,human
682,513150.SH,港股通科技ETF华泰柏瑞,931573.CSI,中证港股通科技指数,SH,华泰柏瑞基金,26268.966,
48,159269.SZ,港股通科技ETF南方,931573CNY00.CSI,中证港股通科技人民币指数,SZ,南方基金,63268.583,
21,159220.SZ,港股通红利ETF,SPAHLVCP.OTH,标普港股通低波红利指数,SZ,华宝基金,12881.517,
705,513530.SH,港股通红利ETF,930915.CSI,中证港股通高股息投资人民币指数,SH,华泰柏瑞基金,75971.057,1
920,520890.SH,港股通红利低波ETF,HSHYLV.HI,恒生港股通高股息低波动指数,SH,华泰柏瑞基金,5765.47,
686,513190.SH,港股通金融ETF,H11146.CSI,中证港股通内地金融指数,SH,华夏基金,746078.592,
717,513750.SH,港股通非银ETF,931028.CSI,中证港股通非银行金融主题人民币指数,SH,广发基金,1512839.7,
681,513140.SH,港股金融ETF,H30106.CSI,中证香港300金融服务指数,SH,华泰柏瑞基金,56540.579,
51,159302.SZ,港股高股息ETF,930914.CSI,中证港股通高股息投资指数,SZ,银华基金,27107.14,
801,516010.SH,游戏ETF,930901.CSI,中证动漫游戏指数,SH,国泰基金,108454.845,1
411,159869.SZ,游戏ETF,930901.CSI,中证动漫游戏指数,SZ,华夏基金,621072.096,
855,516770.SH,游戏ETF华泰柏瑞,930901.CSI,中证动漫游戏指数,SH,华泰柏瑞基金,24550.703,
897,517770.SH,游戏传媒ETF,931580.CSI,中证沪港深游戏及文化传媒指数,SH,浦银安盛基金,1343.559,
321,159743.SZ,湖北ETF,931393.CSI,中证湖北新旧动能转换指数,SZ,博时基金,129.454,
491,159976.SZ,湾创ETF,980001.SZ,粤港澳大湾区创新100指数,SZ,工银瑞信基金,41.709,
1012,561500.SH,漂亮50ETF,931526.CSI,中证企业核心竞争力50指数,SH,华泰柏瑞基金,579.805,
756,515220.SH,煤炭ETF,399998.SZ,中证煤炭指数,SH,国泰基金,989659.114,
867,516910.SH,物流ETF,930716.CSI,中证现代物流指数,SH,富国基金,21122.152,
835,516530.SH,物流快递ETF,930716.CSI,中证现代物流指数,SH,银华基金,878.992,
819,516260.SH,物联网50ETF,930712.CSI,中证物联网主题指数,SH,华夏基金,416.58,
825,516330.SH,物联网ETF,930712.CSI,中证物联网主题指数,SH,华泰柏瑞基金,919.792,
431,159896.SZ,物联网ETF南方,930712.CSI,中证物联网主题指数,SZ,南方基金,19373.528,1
295,159709.SZ,物联网ETF工银,399285.SZ,深证物联网50指数,SZ,工银瑞信基金,116.727,
290,159701.SZ,物联网ETF招商,930712.CSI,中证物联网主题指数,SZ,招商基金,337.587,
430,159895.SZ,物联网ETF易方达,930712.CSI,中证物联网主题指数,SZ,易方达基金,17.528,
896,517660.SH,物联网ETF沪港深,931575.CSI,中证沪港深物联网主题指数,SH,天弘基金,868.464,
638,512580.SH,环保ETF,000827.SH,中证环保产业指数,SH,广发基金,11202.382,
124,159399.SZ,现金流ETF,FCFQCD.OTH,富时中国A股自由现金流聚焦指数,SZ,国泰基金,297683.819,
830,516460.SH,现金流ETF800,932368.CSI,中证800自由现金流指数,SH,鹏华基金,532.825,
613,512130.SH,现金流ETF中证全指,932365.CSI,中证全指自由现金流指数,SH,鹏华基金,8891.522,
1097,563390.SH,现金流ETF全指,932365.CSI,中证全指自由现金流指数,SH,华泰柏瑞基金,113705.516,
32,159232.SZ,现金流ETF南方,932365.CSI,中证全指自由现金流指数,SZ,南方基金,79110.56,
22,159221.SZ,现金流ETF嘉实,980092.SZ,国证自由现金流指数,SZ,嘉实基金,31392.909,
25,159225.SZ,现金流ETF基金,980092.SZ,国证自由现金流指数,SZ,银华基金,4897.993,
24,159223.SZ,现金流ETF永赢,980092.SZ,国证自由现金流指数,SZ,永赢基金,25968.749,
1108,563780.SH,现金流全指ETF,932365.CSI,中证全指自由现金流指数,SH,方正富邦基金,7152.947,
601,511980.SH,现金添富ETF,,,SH,汇添富基金,308.089,
588,511810.SH,理财金货币ETF,,,SH,南方基金,11356.82,
624,512290.SH,生物医药ETF,930726.CSI,中证生物医药指数,SH,国泰基金,62351.591,1
403,159859.SZ,生物医药ETF,399441.SZ,国证生物医药指数,SZ,天弘基金,76846.74,
130,159508.SZ,生物医药ETF基金,399441.SZ,国证生物医药指数,SZ,华安基金,902.711,
254,159657.SZ,生物疫苗ETF,980015.SZ,国证疫苗与生物科技指数,SZ,鹏华基金,2566.871,
1068,562860.SH,生物疫苗ETF,931992.CSI,中证疫苗与生物技术指数,SH,嘉实基金,12450.514,
832,516500.SH,生物科技ETF,930743.CSI,中证生物科技主题指数,SH,华夏基金,2695.84,
385,159837.SZ,生物科技ETF,930743.CSI,中证生物科技主题指数,SZ,易方达基金,20243.882,
869,516930.SH,生物科技ETF基金,930743.CSI,中证生物科技主题指数,SH,民生加银基金,592.446,
395,159849.SZ,生物科技指数ETF,930743.CSI,中证生物科技主题指数,SZ,招商基金,2018.545,
387,159839.SZ,生物药ETF,399441.SZ,国证生物医药指数,SZ,汇添富基金,15823.73,
542,510600.SH,申万上证50ETF,000016.SH,上证50指数,SH,申万菱信基金,1824.656,
953,560300.SH,电信50ETF,931235.CSI,中证电信主题指数,SH,汇添富基金,2736.079,1
129,159507.SZ,电信ETF,399389.SZ,国证通信指数,SZ,广发基金,1081.244,
1080,563010.SH,电信ETF,931235.CSI,中证电信主题指数,SH,易方达基金,1323.773,
972,560690.SH,电信ETF基金,931235.CSI,中证电信主题指数,SH,鹏华基金,131.137,
1015,561560.SH,电力ETF,H30199.CSI,中证全指电力公用事业指数,SH,华泰柏瑞基金,50119.734,
216,159611.SZ,电力ETF,H30199.CSI,中证全指电力公用事业指数,SZ,广发基金,252365.65,1
964,560580.SH,电力ETF南方,H30199.CSI,中证全指电力公用事业指数,SH,南方基金,3939.95,
1020,561700.SH,电力ETF基金,H30199.CSI,中证全指电力公用事业指数,SH,博时基金,6449.019,
1048,562350.SH,电力指数ETF,H30199.CSI,中证全指电力公用事业指数,SH,银华基金,2071.657,
763,515320.SH,电子50ETF,931461.CSI,中证电子50指数,SH,华安基金,1236.39,
759,515260.SH,电子ETF,931461.CSI,中证电子50指数,SH,华宝基金,5897.668,
503,159997.SZ,电子ETF,930652.CSI,中证电子指数,SZ,天弘基金,14329.333,
329,159757.SZ,电池30ETF,980032.SZ,国证新能源车电池指数,SZ,景顺长城基金,5259.285,
356,159796.SZ,电池50ETF,931719.CSI,中证电池主题指数,SZ,汇添富基金,20555.914,
1030,561910.SH,电池ETF,931719.CSI,中证电池主题指数,SH,招商基金,34286.872,1
328,159755.SZ,电池ETF,980032.SZ,国证新能源车电池指数,SZ,广发基金,111311.164,
